Symbol,Shortname,Revenuegrowth,Ebitda,Marketcap,Weight,Volatility,Average Close Price,Return,Average Volume,VIKOR Score (Q),Group Utility (S),Individual Regret (R),Rank
PKG,Packaging Corporation of Americ,0.3302808302808303,0.0186204990069724,0.0041015359801687,0.0041015359801676,0.0557540567035596,0.171791107433626,0.3718128352606018,0.0023515711992714,0.19553218676979392,0.1059670330366574,0.06605616605616606,46
HCA,"HCA Healthcare, Inc.",0.300976800976801,0.1067887893265917,0.0212446736362927,0.0212446736362917,0.1633833758966638,0.2316717309659654,0.3708098869915938,0.0061556412385263,0.19439182641356734,0.12460253028514783,0.060195360195360204,47
FTNT,"Fortinet, Inc.",0.3321123321123321,0.0193689336918962,0.0205112031146265,0.020511203114626,0.0929614250313909,0.0684176952141359,0.375164780280601,0.0211126724517502,0.19345790470315222,0.10213680973002714,0.06642246642246642,48
MRK,"Merck & Company, Inc.",0.2796092796092796,0.173565965476056,0.0732294733833694,0.0732294733833685,0.0324247058987799,0.0691920777146505,0.3565759954016447,0.0556743282315347,0.1881402148779569,0.1314573171740093,0.055921855921855924,49
KIM,Kimco Realty Corporation (HC),0.336996336996337,0.0154990573254426,0.0026777868128126,0.0026777868128127,0.0080701935739957,0.0101080244073015,0.3716792136685508,0.0190506344840377,0.18724380374606142,0.09107475874897862,0.06739926739926741,50
IRM,Iron Mountain Incorporated (Del,0.3272283272283273,0.0213624301648626,0.0072514328177255,0.0072514328177257,0.0899268466169871,0.0747224642084071,0.3646405149771488,0.0080011335341153,0.18657648140193855,0.09692978882891869,0.06544566544566546,51
PHM,"PulteGroup, Inc.",0.3247863247863248,0.0343581456244718,0.0047674096978952,0.0047674096978943,0.0488681934483017,0.078997852538612,0.3645052217984024,0.0088467703955746,0.18618028377580506,0.09810859488081239,0.06495726495726496,52
UHS,"Universal Health Services, Inc.",0.3211233211233211,0.0222503095207593,0.0014912395843001,0.0014912395842989,0.1067262075609681,0.1339735230155541,0.3749954502362838,0.0026955022646558,0.18591977614667704,0.10029148259521695,0.06422466422466422,53
FSLR,"First Solar, Inc.",0.3186813186813187,0.0192894061002027,0.0038137292936867,0.003813729293686,0.1973983748547531,0.1357243549022237,0.3871381284258751,0.0108960153222004,0.1853445995365181,0.10124793619301471,0.06373626373626375,54
DELL,Dell Technologies Inc.,0.3083028083028083,0.0702689878300003,0.0225163404157327,0.0225163404157315,0.1359053140993833,0.083349986984533,0.3653355389396613,0.0394838294053376,0.18468617857148661,0.10753177918585562,0.061660561660561664,55
EFX,"Equifax, Inc.",0.3095238095238095,0.019149276215731,0.0076130154639464,0.0076130154639462,0.1677225324851926,0.1960557578115121,0.3689180459843461,0.0052777398707518,0.1836237890227851,0.10537642313964496,0.0619047619047619,56
EIX,Edison International,0.3174603174603175,0.0536710686988285,0.007234275892688,0.0072342758926867,0.0366862662112812,0.0544495684504723,0.3684333562322177,0.0095314728813776,0.18210293857958948,0.09805620527429339,0.0634920634920635,57
MCD,McDonald's Corporation,0.2692307692307693,0.1075052172793524,0.0615973905253348,0.0615973905253347,0.1456479712371939,0.2229293559302719,0.375202865193369,0.0150250771215979,0.18145632282173962,0.13025548640742077,0.053846153846153856,58
PH,Parker-Hannifin Corporation,0.2600732600732601,0.0428930141428987,0.0231893532608046,0.0231893532608042,0.4173009003866363,0.5031346846411108,0.3711206158324471,0.0023262998404221,0.17974134891767846,0.134391224398028,0.052014652014652024,59
HIG,Hartford Financial Services Gro,0.3107448107448107,0.0377422977890068,0.007522322105447,0.0075223221054471,0.0735513161871212,0.0780595593875801,0.3875814077364483,0.0077382002332386,0.1780681572397525,0.09763893999012886,0.06214896214896214,60
CSGP,"CoStar Group, Inc.",0.3192918192918193,0.0080398685646183,0.0067790198077946,0.0067790198077949,0.0413463155851542,0.0480434980610945,0.3823131066257015,0.0118583920492589,0.17792374942505665,0.0916109751880418,0.06385836385836387,61
FOXA,Fox Corporation,0.3205128205128205,0.0288105472813527,0.0045488043303354,0.0045488043303353,0.0249781865939985,0.0307003341719291,0.3360905787809301,0.0182655393045543,0.17776369721634735,0.09057662741585872,0.0641025641025641,62
FOX,Fox Corporation,0.3205128205128205,0.0288105472813527,0.0045473659283814,0.0045473659283808,0.0216531143443431,0.0284464196688479,0.3504987992080888,0.0051326104082984,0.17763325102727126,0.09041456911372649,0.0641025641025641,63
DIS,Walt Disney Company (The),0.2753357753357753,0.1286381102321147,0.0595132207514663,0.0595132207514661,0.0499033022338705,0.0801580719477647,0.3713849910369607,0.0441635968506864,0.1773770252269013,0.12101007471715229,0.055067155067155066,64
HPE,Hewlett Packard Enterprise Comp,0.3144078144078144,0.0425063824262541,0.0065167771075979,0.0065167771075982,0.0183367879779749,0.0086734153451166,0.3722595762922408,0.0674639978705417,0.1772098248626243,0.09406607443845885,0.06288156288156288,65
BDX,"Becton, Dickinson and Company",0.2948717948717949,0.0439610646161012,0.017940430420893,0.0179404304208918,0.1248555593655692,0.1715099358856321,0.3765724892537692,0.0092304200401878,0.17717567321619015,0.10739178696644182,0.05897435897435898,66
ABT,Abbott Laboratories,0.2826617826617826,0.0855358797399365,0.0580695728608844,0.0580695728608833,0.0516856237123047,0.0818694147418581,0.3783478374243881,0.0244479634887529,0.17666330669646685,0.11511034216167117,0.056532356532356526,67
ESS,"Essex Property Trust, Inc.",0.2991452991452991,0.0148707072371636,0.0036229786546245,0.0036229786546239,0.1397616212167589,0.2158054885746109,0.3785115574532751,0.0010495782334176,0.17656203926274838,0.10370516526014299,0.05982905982905982,68
FDS,FactSet Research Systems Inc.,0.2826617826617826,0.01284659680295,0.0034619603812127,0.0034619603812125,0.2850706627408084,0.3744204578208234,0.3558251692884342,0.000657833448415,0.17638462897114265,0.11476413013870615,0.056532356532356526,69
BEN,"Franklin Resources, Inc.",0.3217338217338217,0.0190816337266523,0.0011435143108834,0.0011435143108829,0.0166158385971896,0.0078209456042419,0.3745386640309372,0.0188504222197538,0.1763651207521247,0.088003613474739,0.06434676434676434,70
BRO,"Brown & Brown, Inc.",0.3131868131868132,0.0179171608664288,0.0068234074487173,0.0068234074487172,0.0371469154508783,0.0729640174047857,0.3712761463405826,0.0054106724974827,0.17608381829834752,0.09350270208812601,0.06263736263736264,71
VRSK,"Verisk Analytics, Inc.",0.2954822954822955,0.0167148662692694,0.0097585574692848,0.0097585574692835,0.1318412031122643,0.2104597188760478,0.3708954712508091,0.0026781775584415,0.17498776532604493,0.10425591071947536,0.0590964590964591,72
UPS,"United Parcel Service, Inc.",0.2869352869352869,0.0941403216343937,0.0304631030839339,0.0304631030839328,0.1019706836103188,0.0910182633912194,0.369715397202028,0.0202998072999165,0.17429966864604984,0.10924962326871678,0.057387057387057384,73
LEN,Lennar Corporation,0.300976800976801,0.0470557755232087,0.0092150655032789,0.0092150655032781,0.060051627114054,0.1008522056602208,0.3762209674628961,0.0115893637783777,0.174181110940227,0.09949398355269594,0.060195360195360204,74
HLT,Hilton Worldwide Holdings Inc.,0.2912087912087912,0.0246719769167362,0.0163530431225869,0.016353043122587,0.1670118086318593,0.1888261745095153,0.3697570800675094,0.0060901765132468,0.17284926306427958,0.10452344808584808,0.058241758241758236,75
WTW,Willis Towers Watson Public Lim,0.2875457875457875,0.0255738798744413,0.0075991397378301,0.0075991397378302,0.2212896300130973,0.2425155630352376,0.3781041904193999,0.0031187408968715,0.17277497567878314,0.10693768434879453,0.057509157509157506,76
LH,Labcorp Holdings Inc.,0.2979242979242979,0.0189732601362578,0.0036905368855015,0.0036905368855018,0.0646687803977699,0.1723652257349779,0.3693096058654235,0.0019503309830966,0.17237385272277272,0.09933752931882373,0.05958485958485959,77
TJX,"TJX Companies, Inc. (The)",0.2869352869352869,0.0586242610897594,0.03954497393499,0.0395449739349891,0.048597330923811,0.0880535497815798,0.3710659946593936,0.0251748841718312,0.17221647180359662,0.10666158795939637,0.057387057387057384,78
GDDY,GoDaddy Inc.,0.2973137973137973,0.0141880828400068,0.0066423710000143,0.0066423710000132,0.1366430580004465,0.1540138652922259,0.370086046905958,0.0050552618885276,0.17075340169651396,0.09774213526748661,0.05946275946275947,79
OMC,Omnicom Group Inc.,0.3046398046398046,0.0244072256891806,0.0031839201453685,0.0031839201453675,0.0579185426760364,0.0618158451273818,0.3719418498171458,0.0121623312147442,0.16930607619796936,0.09093101464826557,0.06092796092796093,80
EMN,Eastman Chemical Company,0.3058608058608059,0.0190496307184756,0.0011130649217676,0.0011130649217668,0.066911089232624,0.0641530745091524,0.369767979674801,0.0041163727985316,0.16880504093588033,0.08947305055522269,0.06117216117216118,81
PEG,Public Service Enterprise Group,0.2991452991452991,0.0362221535041217,0.0107559784823951,0.0107559784823945,0.0635171621775375,0.058802554813431,0.3824040686254434,0.0109527898887856,0.16878002859936123,0.09403727504260775,0.05982905982905982,82
HST,"Host Hotels & Resorts, Inc.",0.3089133089133089,0.0178204247335532,0.0017993248142472,0.0017993248142459,0.017022646063348,0.0059853212121139,0.3697676954703585,0.0370742524773686,0.16763939609598627,0.08593615333674565,0.061782661782661785,83
NTAP,"NetApp, Inc.",0.2991452991452991,0.0183077428016536,0.005197544764579,0.0051975447645781,0.098670572484224,0.0852045396627589,0.374063526575928,0.0074756944793215,0.16692435441085432,0.09173189984974084,0.05982905982905982,84
PNW,Pinnacle West Capital Corporati,0.3015873015873016,0.0211892647969832,0.0008165049496919,0.0008165049496916,0.0283633654046271,0.0587812517607826,0.3672844586961734,0.0048539666538347,0.16544727385936425,0.08822584849434524,0.060317460317460325,85
DPZ,Domino's Pizza Inc,0.2716727716727716,0.0135008984214959,0.0023527001943715,0.0023527001943703,0.1671792953668744,0.3286636717579377,0.3695543355003153,0.0019561960856923,0.16529560782989677,0.10850739300090821,0.05433455433455432,86
SO,Southern Company (The),0.2783882783882784,0.1017992284844197,0.0254617844668935,0.0254617844668928,0.0317997462147943,0.057088948994253,0.373824940986574,0.018449825021329,0.16529288251196556,0.10390870896190894,0.05567765567765568,87
FFIV,"F5, Inc.",0.2869352869352869,0.0124897267201639,0.00237358875216,0.0023735887521598,0.1223089742931417,0.1910396442395669,0.3697699468008517,0.0020056451055545,0.16497508634559588,0.09766533716264718,0.057387057387057384,88
IR,Ingersoll Rand Inc.,0.2954822954822955,0.0206286884683037,0.0091796305457986,0.0091796305457978,0.0665467562733395,0.0645634914750461,0.3682331899211978,0.0130507851458508,0.16388715721699693,0.09046519965670662,0.0590964590964591,89
EA,Electronic Arts Inc.,0.2881562881562881,0.0205479533740181,0.0096577847206221,0.0096577847206211,0.0563039388311068,0.1084643090664967,0.3697633700880588,0.0087077267268971,0.16219882467467314,0.09338077206735554,0.05763125763125762,90
PEP,"Pepsico, Inc.",0.2490842490842491,0.129816409322867,0.0615627593807111,0.0615627593807112,0.0573630096067998,0.1122657975035627,0.3869244148971354,0.0333352444243679,0.16210275510045902,0.1199977020074172,0.04981684981684982,91
CVX,Chevron Corporation,0.2136752136752136,0.29004963856957,0.0752523343846776,0.0752523343846768,0.0394773450540275,0.1045265486515951,0.3751084414173202,0.0710213656710938,0.16209678588837076,0.14157733443542642,0.0435074457854355,92
GLW,Corning Incorporated,0.2948717948717949,0.025762989490118,0.0101873679867644,0.0101873679867635,0.0113436651802492,0.0289996259205366,0.3697830150102072,0.0204506087571731,0.16181341364545299,0.08830666289665251,0.05897435897435898,93
ED,"Consolidated Edison, Inc.",0.2875457875457875,0.0472122760519212,0.0073574421707338,0.0073574421707333,0.0320982017914308,0.0627641565210246,0.371216912449091,0.010126314706642,0.16086527699638076,0.09214180904537077,0.057509157509157506,94
