Alternative,Company Name,Mean Rank Score,Rank (Mean Rank),Borda Count Score,Rank (Borda),Copeland Score,Rank (Copeland)
TSN,"Tyson Foods, Inc.",99.33333333333333,107,358.0,107,-232.0,107
EFX,"Equifax, Inc.",100.33333333333333,108,352.0,108,-244.0,108
GIS,"General Mills, Inc.",100.66666666666667,109,350.0,109,-248.0,109
FRT,Federal Realty Investment Trust,101.0,110,348.0,110,-252.0,110
GPN,Global Payments Inc.,101.33333333333333,111,346.0,111,-256.0,111
ESS,"Essex Property Trust, Inc.",101.66666666666667,112,344.0,112,-260.0,112
JCI,Johnson Controls International ,102.66666666666667,113,338.0,113,-272.0,113
BAX,Baxter International Inc.,103.33333333333333,114,334.0,114,-280.0,114
STZ,"Constellation Brands, Inc.",103.5,115,333.0,115,-282.0,115
UDR,"UDR, Inc.",103.66666666666667,116,332.0,116,-284.0,116
DTE,DTE Energy Company,104.33333333333333,117,328.0,117,-292.0,117
IFF,International Flavors & Fragran,104.83333333333333,118,325.0,118,-298.0,118
DOV,Dover Corporation,105.83333333333333,119,319.0,119,-310.0,119
FDS,FactSet Research Systems Inc.,106.16666666666667,120,317.0,120,-314.0,120
LH,Labcorp Holdings Inc.,106.33333333333333,121,316.0,121,-316.0,121
DE,Deere & Company,107.16666666666667,122,311.0,122,-326.0,122
TTWO,"Take-Two Interactive Software, ",108.33333333333333,123,304.0,123,-340.0,123
ALLE,Allegion plc,108.66666666666667,124,302.0,124,-344.0,124
WEC,"WEC Energy Group, Inc.",109.16666666666667,125,299.0,125,-350.0,125
HRL,Hormel Foods Corporation,110.33333333333333,126,292.0,126,-364.0,126
XYL,Xylem Inc.,110.83333333333333,127,289.0,127,-370.0,127
PARA,Paramount Global,111.33333333333333,128,286.0,128,-376.0,128
EXPE,"Expedia Group, Inc.",111.33333333333333,129,286.0,129,-376.0,129
FSLR,"First Solar, Inc.",112.16666666666667,130,281.0,130,-386.0,130
IQV,"IQVIA Holdings, Inc.",114.5,131,267.0,131,-414.0,131
AES,The AES Corporation,114.66666666666667,132,266.0,132,-416.0,132
DPZ,Domino's Pizza Inc,115.16666666666667,133,263.0,133,-422.0,133
LKQ,LKQ Corporation,115.5,134,261.0,134,-426.0,134
PPG,"PPG Industries, Inc.",118.5,135,243.0,135,-462.0,135
BBY,"Best Buy Co., Inc.",120.16666666666667,136,233.0,136,-482.0,136
SOLV,Solventum Corporation,120.83333333333333,137,229.0,137,-490.0,137
KMX,CarMax Inc,121.0,138,228.0,139,-492.0,139
BWA,BorgWarner Inc.,121.0,139,228.0,138,-492.0,138
HSIC,"Henry Schein, Inc.",121.33333333333333,140,226.0,140,-496.0,140
IEX,IDEX Corporation,121.5,141,225.0,141,-498.0,141
RVTY,"Revvity, Inc.",121.83333333333333,142,223.0,142,-502.0,142
DHI,"D.R. Horton, Inc.",122.5,143,219.0,143,-510.0,143
DG,Dollar General Corporation,124.66666666666667,144,206.0,144,-536.0,144
AOS,A.O. Smith Corporation,127.33333333333333,145,190.0,145,-568.0,145
ADM,Archer-Daniels-Midland Company,127.83333333333333,146,187.0,146,-574.0,146
DXCM,"DexCom, Inc.",129.16666666666666,147,179.0,147,-590.0,147
WST,"West Pharmaceutical Services, I",129.83333333333334,148,175.0,148,-598.0,148
SWK,"Stanley Black & Decker, Inc.",133.16666666666666,149,155.0,149,-638.0,149
JBHT,"J.B. Hunt Transport Services, I",136.33333333333334,150,136.0,150,-676.0,150
HII,"Huntington Ingalls Industries, ",137.66666666666666,151,128.0,151,-692.0,151
VLO,Valero Energy Corporation,138.33333333333334,152,124.0,152,-700.0,152
PFG,Principal Financial Group Inc,138.83333333333334,153,121.0,153,-706.0,153
CE,Celanese Corporation,139.83333333333334,154,115.0,154,-718.0,154
EL,"Estee Lauder Companies, Inc. (T",140.83333333333334,155,109.0,155,-730.0,155
ON,ON Semiconductor Corporation,141.5,156,105.0,156,-738.0,156
BLDR,"Builders FirstSource, Inc.",144.83333333333334,157,85.0,157,-778.0,157
ENPH,"Enphase Energy, Inc.",154.33333333333334,158,28.0,158,-892.0,158
ALB,Albemarle Corporation,154.83333333333334,159,25.0,159,-898.0,159
